Time name; timer [s/ps]
timeINO;32111.0
timePollSent;13057813.0
timePollAckReceived;13072616.0
timePollAckReceived;13174618.0
timeRangeSent;13189425.0
timeINO;32315.0
timePollSent;13261819.0
timePollAckReceived;13276623.0
timePollAckReceived;13378627.0
timeRangeSent;13393434.0
timeINO;32519.0
timePollSent;13465822.0
timePollAckReceived;13480628.0
timePollAckReceived;13582631.0
timeRangeSent;13597439.0
timeINO;32723.0
timePollSent;13669828.0
timePollAckReceived;13684636.0
timePollAckReceived;13786636.0
timeRangeSent;13801445.0
timeINO;32927.0
timePollSent;13873833.0
timePollAckReceived;13888638.0
timePollAckReceived;13990641.0
timeRangeSent;14005450.0
timeINO;33131.0
timePollSent;14077837.0
timePollAckReceived;14092645.0
timePollAckReceived;14194642.0
timeRangeSent;14209448.0
timeINO;33335.0
timePollSent;14281842.0
timePollAckReceived;14296645.0
timePollAckReceived;14398649.0
timeRangeSent;14413458.0
timeINO;33539.0
timePollSent;14587848.0
timePollAckReceived;14602650.0
timePollAckReceived;14704654.0
timeRangeSent;14719461.0
timeINO;33845.0
timePollSent;14791852.0
timePollAckReceived;14806656.0
timePollAckReceived;14908657.0
timeRangeSent;14923466.0
timeINO;34049.0
timePollSent;14995855.0
timePollAckReceived;15010658.0
timePollAckReceived;15112661.0
timeRangeSent;15127469.0
timeINO;34253.0
timePollSent;15199861.0
timePollAckReceived;15214668.0
timePollAckReceived;15316668.0
timeRangeSent;15331475.0
timeINO;34457.0
timePollSent;15403865.0
timePollAckReceived;15418669.0
timePollAckReceived;15520674.0
timeRangeSent;15535480.0
timeINO;34661.0
timePollSent;15607870.0
timePollAckReceived;15622673.0
timePollAckReceived;15724677.0
timeRangeSent;15739483.0
timeINO;34865.0
timePollSent;15811875.0
timePollAckReceived;15826680.0
timePollAckReceived;15928678.0
timeRangeSent;15943488.0
timeINO;35069.0
timePollSent;16015880.0
timePollAckReceived;16030684.0
timePollAckReceived;16132687.0
timeRangeSent;16147497.0
timeINO;35273.0
timePollSent;16219884.0
timePollAckReceived;16234688.0
timePollAckReceived;16336690.0
timeRangeSent;16351496.0
