Time name; timer [s/ps]
timePollAckReceived;17152710.0
timeRangeSent;17167516.0
timeINO;36293.0
timePollSent;32511.82
timePollAckReceived;47308.81
timePollAckReceived;149309.17
timeRangeSent;164116.52
timeINO;36497.0
timePollSent;236517.48
timePollAckReceived;251312.98
timePollAckReceived;353315.47
timeRangeSent;368124.25
timeINO;36701.0
timePollSent;440520.69
timePollAckReceived;455318.13
timePollAckReceived;557320.63
timeRangeSent;572128.81
timeINO;36905.0
timePollSent;644525.06
timePollAckReceived;659321.06
timePollAckReceived;761324.81
timeRangeSent;776131.44
timeINO;37109.0
timePollSent;848530.81
timePollAckReceived;863329.44
timePollAckReceived;965326.81
timeRangeSent;980134.56
timeINO;37313.0
timePollSent;1052535.37
timePollAckReceived;1067331.37
timePollAckReceived;1169331.12
timeRangeSent;1184139.12
timeINO;37517.0
timePollSent;1256539.62
timePollAckReceived;1271335.62
timePollAckReceived;1373334.12
timeRangeSent;1388141.75
timeINO;37721.0
timePollSent;1460544.0
timePollAckReceived;1475338.75
timePollAckReceived;1679345.12
timeRangeSent;1694152.12
timeINO;38027.0
timePollSent;1766549.75
timePollAckReceived;1781347.5
timePollAckReceived;1883350.12
timeRangeSent;1898156.87
timeINO;38231.0
timePollSent;1970555.25
timePollAckReceived;1985352.5
timePollAckReceived;2087352.25
timeRangeSent;2102161.75
timeINO;38435.0
timePollSent;2174559.5
timePollAckReceived;2189355.75
timePollAckReceived;2291355.0
timeRangeSent;2306161.25
timeINO;38639.0
timePollSent;2378564.25
timePollAckReceived;2393360.25
timePollAckReceived;2495361.75
timeRangeSent;2510170.75
timeINO;38843.0
timePollSent;2582568.5
timePollAckReceived;2597364.25
timePollAckReceived;2699366.75
timeRangeSent;2714176.5
timeINO;39047.0
timePollSent;2786573.0
timePollAckReceived;2801368.25
timePollAckReceived;2903369.0
timeRangeSent;2918177.75
timeINO;39251.0
timePollSent;2990577.25
timePollAckReceived;3005373.5
timePollAckReceived;3107371.25
timeRangeSent;3122181.25
timeINO;39455.0
timePollSent;3194582.0
timePollAckReceived;3209375.5
timePollAckReceived;3311380.5
timeRangeSent;3326189.75
timeINO;39659.0
timePollSent;3398586.25
timePollAckReceived;3413378.75
timePollAckReceived;3515383.25
timeRangeSent;3530193.25
timeINO;39863.0
timePollSent;3602590.75
timePollAckReceived;3617384.75
timePollAckReceived;3821390.25
timeRangeSent;3836197.25
timeINO;40169.0
timePollSent;3908596.5
timePollAckReceived;3923390.5
timePollAckReceived;4025392.25
timeRangeSent;4040201.75
timeINO;40373.0
timePollSent;4112601.75
timePollAckReceived;4127396.75
timePollAckReceived;4229399.5
timeRangeSent;4244207.5
timeINO;40577.0
timePollSent;4316607.5
timePollAckReceived;4331402.5
timePollAckReceived;4433404.5
timeRangeSent;4448211.5
timeINO;40781.0
timePollSent;4520609.5
timePollAckReceived;4535405.5
timePollAckReceived;4637405.0
