Num of Anchor; Time [ms]; Data Anchor; dbm
1780; 770404.0;0.52;-61.23
1780; 771534.0;0.5;-62.65
1780; 772663.0;0.5;-62.87
1780; 773792.0;0.52;-62.22
1780; 774923.0;0.53;-61.04
1780; 776052.0;0.48;-61.57
1780; 777181.0;0.52;-62.87
1780; 778311.0;0.53;-61.46
1780; 779441.0;0.5;-61.07
1780; 780570.0;0.49;-61.01
1780; 781700.0;0.52;-59.86
1780; 782830.0;0.5;-61.13
1780; 783959.0;0.49;-61.21
1780; 785088.0;0.49;-61.46
1780; 786217.0;0.5;-61.41
1780; 787347.0;0.51;-61.43
1780; 788476.0;0.51;-60.12
1780; 789605.0;0.49;-61.19
1780; 790734.0;0.48;-60.85
1780; 791863.0;0.5;-61.83
1780; 792992.0;0.51;-62.87
1780; 794121.0;0.49;-61.49
1780; 795251.0;0.48;-61.39
1780; 796381.0;0.53;-61.68
1780; 797510.0;0.53;-60.24
1780; 798640.0;0.51;-61.52
1780; 799769.0;0.51;-62.18
1780; 800898.0;0.53;-61.23
1780; 802028.0;0.53;-59.88
1780; 803157.0;0.5;-60.42
1780; 804286.0;0.46;-61.45
1780; 805416.0;0.53;-62.05
1780; 806545.0;0.51;-60.81
1780; 807674.0;0.5;-60.27
1780; 808803.0;0.48;-62.83
1780; 809933.0;0.51;-60.86
1780; 811063.0;0.52;-60.81
1780; 812192.0;0.5;-61.6
1780; 813322.0;0.51;-61.83
1780; 814452.0;0.49;-61.77
1780; 815582.0;0.5;-61.72
1780; 816711.0;0.52;-62.3
1780; 817840.0;0.53;-61.91
1780; 818969.0;0.53;-60.37
1780; 820099.0;0.51;-61.41
1780; 821230.0;0.47;-61.1
1780; 822359.0;0.5;-62.04
1780; 823489.0;0.51;-62.5
1780; 824618.0;0.5;-62.22
1780; 825747.0;0.52;-59.67
1780; 826877.0;0.5;-62.3
1780; 828007.0;0.48;-60.15
1780; 829136.0;0.5;-63.35
1780; 830265.0;0.49;-60.6
1780; 831394.0;0.49;-61.1
1780; 832524.0;0.46;-60.92
1780; 833653.0;0.51;-62.2
1780; 834782.0;0.5;-61.48
1780; 835911.0;0.48;-62.13
1780; 837040.0;0.5;-62.66
1780; 838170.0;0.49;-59.63
1780; 839300.0;0.48;-59.74
1780; 840429.0;0.49;-62.15
1780; 841558.0;0.49;-61.64
1780; 842687.0;0.51;-60.91
1780; 843817.0;0.48;-61.74
1780; 844946.0;0.52;-61.21
1780; 846075.0;0.53;-62.23
1780; 847204.0;0.5;-62.47
1780; 848334.0;0.52;-61.77
1780; 849463.0;0.52;-61.5
1780; 850594.0;0.51;-61.02
1780; 851723.0;0.49;-62.51
1780; 852854.0;0.51;-60.7
1780; 853984.0;0.49;-59.07
1780; 855113.0;0.53;-62.14
1780; 856243.0;0.48;-62.43
1780; 857372.0;0.5;-62.64
1780; 858501.0;0.5;-61.64
1780; 859630.0;0.49;-62.66
1780; 860760.0;0.49;-61.76
1780; 861890.0;0.51;-63.22
1780; 863020.0;0.51;-60.66
1780; 864149.0;0.5;-61.99
1780; 865279.0;0.51;-61.09
1780; 866408.0;0.51;-61.36
1780; 867537.0;0.5;-60.13
1780; 868666.0;0.48;-62.38
1780; 869795.0;0.49;-62.53
1780; 870924.0;0.51;-61.65
1780; 872053.0;0.52;-60.69
1780; 873182.0;0.51;-62.07
1780; 874312.0;0.51;-60.85
1780; 875441.0;0.51;-62.83
1780; 876571.0;0.52;-62.03
1780; 877701.0;0.5;-62.62
1780; 878830.0;0.5;-61.16
1780; 879959.0;0.52;-63.08
1780; 881088.0;0.52;-61.62
